oclc	local_id	item_type	access	rights	identifier
5	2091712	mono	deny	ic	mdp.39015019227985
7	1041440	mono	allow	pd	uc1.a0001796770
940	1568044	mono	deny	ic	mdp.39015022444312
944	1214463	mono	deny	ic	mdp.39015014188869
944	1214463	mono	deny	ic	uva.x000530674
949	1981039	mono	deny	ic	mdp.39015000663461
949	1981039	mono	deny	ic	uc1.b4449621
950	1506552	mono	deny	ic	umn.319510000024136
954	1667502	mono	deny	ic	txu.059173023965215
956	1496301	mono	deny	ic	mdp.39076006392497
956	1496301	mono	deny	ic	uc1.b4456091
958	1225424	mono	deny	ic	uc1.b3916393
960	2143680	mono	deny	ic	mdp.39015003574335
960	2143680	mono	deny	ic	mdp.39015035087033
960	2143680	mono	deny	ic	uc1.b4277704
966	2704058	mono	deny	ic	mdp.39015010367129
966	2704058	mono	deny	ic	uc1.32106010932157
966	2704058	mono	deny	ic	uva.x000756437
967	1981040	mono	deny	ic	mdp.39015007186565
968	1585402	mono	deny	ic	mdp.39015002592296
971	2704059	mono	deny	ic	mdp.39015008309430
971	2704059	mono	deny	ic	uc1.b4134035
974	1915047	mono	deny	ic	mdp.39015017245260
976	1981041	multi	deny	ic	inu.30000006578540
976	1981041	multi	deny	ic	inu.30000007671039
980	1590302	mono	deny	ic	mdp.39015002162876
980	1590302	mono	deny	ic	mdp.39015010651894
980	1590302	mono	deny	ic	mdp.39015066013585
982	2497333	mono	deny	ic	txu.059173025276527
982	2497333	mono	deny	ic	uc1.$b565477
982	2497333	mono	deny	ic	uc1.b4916633
983	1244444	mono	deny	ic	mdp.39015004025360
985	1981043	mono	deny	ic	mdp.39015008432562
987	1304789	mono	deny	ic	mdp.39015008025762
988	10550050	mono	deny	ic	mdp.39015014135738
988	2553098	mono	deny	ic	mdp.39015014135738
989	1279739	mono	deny	ic	mdp.39015011225813
991	1257433	mono	deny	ic	mdp.39015002667007
993	1266101	mono	deny	ic	mdp.39015002281890
996	1496655	mono	deny	ic	umn.31951000486142n
9993	1981136	mono	allow	pdus	uiug.30112106853499
9996	1504166	mono	allow	pdus	uiug.30112000418977
9996	1504166	mono	allow	pdus	uiug.30112008120765
9996	1504166	mono	deny	ic	uiug.30112000418977
9996	1504166	mono	deny	ic	uiug.30112008120765
99971	1336805	mono	deny	ic	wu.89067486829
99972	1421218	mono	deny	ic	mdp.39015041891519
99975	2144610	mono	deny	ic	mdp.39015010405804
99975	2144610	mono	deny	ic	uc1.b4395481
99976	2851652	mono	deny	ic	uc1.$b805686
99977	1261517	mono	deny	ic	mdp.39015015395158
99980	1678991	mono	deny	ic	mdp.39015010150061
99986	1459166	multi	allow	ic-world	mdp.39015036879529
99986	1459166	multi	allow	ic-world	uc1.b3939079
99988	4195747	mono	deny	ic	mdp.39015064868170
99992	1321023	mono	deny	ic	mdp.39015007050472
99999	2092735	mono	deny	ic	mdp.39015030495645
100000	2497891	mono	deny	ic	uc1.b4320129
100005	1370892	mono	deny	ic	mdp.39015031374567
100011	1242726	mono	deny	ic	mdp.39015002202672
100011	1242726	mono	deny	ic	uc1.b3759913
100013	4471906	mono	deny	ic	umn.31951001382458f
100017	2200272	mono	deny	ic	uc1.$b655671
100020	1445114	mono	deny	ic	mdp.39015007244752
100021	1299018	mono	deny	ic	mdp.39015011310409
100026	1507894	mono	deny	ic	uc1.31822014299176
100029	1316920	mono	deny	ic	uc1.$b399352
100030	1421294	mono	deny	ic	mdp.39015008933296
100031	1288839	mono	deny	ic	mdp.39015003965517
100031	1288839	mono	deny	ic	mdp.39015003965533
100033	1386609	mono	deny	ic	mdp.39015002639394
100036	1376660	mono	deny	ic	mdp.39015001663551
100038	1334145	mono	deny	ic	uva.x000420051
100040	959347	mono	deny	ic	mdp.39015004519792
100040	959347	mono	deny	ic	wu.89046877734
100043	1336768	mono	deny	ic	inu.30000010377418
100043	1336768	mono	deny	ic	uc1.b3275997
100045	2265768	mono	allow	pd	mdp.39015003990879
100050	2144611	mono	deny	ic	mdp.39015030430568
100050	2144611	mono	deny	ic	mdp.39015072110359
100052	1465925	mono	deny	ic	mdp.39015005890952
100052	1465925	mono	deny	ic	mdp.39015074197198
100059	2092736	mono	deny	ic	coo.31924001029481
100076	3840499	mono	deny	ic	uc1.b4320292
100077	1340899	mono	deny	ic	mdp.39015013108199
100080	1727692	mono	deny	ic	mdp.39015031574430
100080	1727692	mono	deny	ic	uc1.b4924495
100082	1916133	mono	deny	ic	uc1.32106000807062
100084	1541469	mono	deny	ic	mdp.39015014748779
100086	1982187	mono	deny	ic	uva.x000525578
100087	1499440	mono	deny	ic	mdp.39015005686152
100087	1499440	mono	deny	ic	uc1.31822014298939
100088	1505826	mono	deny	ic	mdp.39076006737287
100089	1223625	mono	deny	ic	mdp.39015029926113
100092	1219623	mono	deny	ic	uc1.$b673899
100094	1706011	mono	deny	ic	uc1.$b391260
100099	1673968	mono	deny	ic	mdp.39015003677724
100100	2704637	mono	deny	ic	mdp.39015066045686
100101	2144613	mono	deny	ic	coo.31924013856558
